"web-scraper-order","name_ja","company_games","company_description","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
"1522049476-2114","わるきゅ～れ",,,,,"http://www.ordin-soft.com/","com",,"JP"
"1522049539-2443","LOST SCRIPT(ロストスクリプト)",,,,,"http://www.lostscript.jp/","jp","Japan","JP"
"1522049539-2294",,,,,,,,,
"1522049599-2576","萌♂",,,,,"http://moe.product.co.jp/","jp","Japan","N/A"
"1522049599-2452",,,,,,,,,
"1522049539-2312",,,,,,,,,
"1522049599-2586","Molamola software",,,,,"http://www.molamola-soft.net/","net",,"JP"
"1522049479-2183","R u s s e l l . p u r e(ラッセル・ピュア)",,,,,"http://www.russel.co.jp/pure/index.html","jp","Japan","JP"
"1522049479-2120",,,,,,,,,
"1522049539-2404","(株)ルーン",,,,,"http://www.rune.jp/","jp","Japan","JP"
"1522049539-2282",,,,,,,,,
"1522049479-2227","Lillian(リリアン)",,,,,"http://www.lillian.jp/","jp","Japan","JP"
"1522049599-2492",,,,,,,,,
"1522049599-2505","(株)マイナビ",,,,,"http://soft.mycom.co.jp/","jp","Japan","JP"
"1522049599-2507","まかろんソフト",,,,,"http://macaronsoft.jp/","jp","Japan","JP"
"1522049479-2208","RealArcade(リアルアーケード)",,,,,"http://www.jp.realarcade.com/","com",,"JP"
"1522049479-2182","(株)ラッセル",,,,,"http://www.w-russell.jp/","jp","Japan","JP"
"1522049599-2477",,,,,,,,,
"1522049599-2564","(株)アスキー・メディアワークス",,,,,"http://asciimw.jp/","jp","Japan","JP"
"1522049599-2501","(株)マイクロネット",,,,,"http://micronetclub.co.jp/","jp","Japan","JP"
"1522049479-2131",,,,,,,,,
"1522049599-2539","美遊(ミュウ)",,,,,"http://www.mu-game.co.jp/","jp","Japan","N/A"
"1522049539-2324",,,,,,,,,
"1522049599-2565","MeDIOZA",,,,,"http://www2s.biglobe.ne.jp/~wangan/","jp","Japan","JP"
"1522049599-2538","(株)MUTAN(ミュータン)",,,,,"http://www.mu-tan.co.jp/","jp","Japan","JP"
"1522049479-2151",,,,,,,,,
"1522049476-2109",,,,,,,,,
"1522049479-2264","レッドレベル",,,,,"http://www.digianime.co.jp/redrebel/","jp","Japan","JP"
"1522049476-2115","One-up",,,,,"http://one-1up.com/","com",,"JP"
"1522049479-2271","Rose Liese(ローズリーゼ)",,,,,"http://www.roseliese.com/","com",,"US"
"1522049539-2435","ローズクラウン",,,,,"http://www.rose-tiara.com/","com",,"VG"
"1522049539-2354","lapin(ラパン)",,,,,"http://www.bunnyhole.jp/","jp","Japan","JP"
"1522049539-2365","(有)ランカース[LANCARSE Ltd.]",,,,,"http://www.lancarse.co.jp/","jp","Japan","JP"
"1522049539-2333",,,,,,,,,
"1522049599-2524","NHN Japan (株)",,,,,"http://www.nhncorp.jp/","jp","Japan","JP"
"1522049539-2392","リューノス",,,,,"http://www.arkham-products.jp/products.html","jp","Japan","N/A"
"1522049539-2351","ラディ",,,,,"http://radi.product.co.jp/","jp","Japan","JP"
"1522049539-2314",,,,,,,,,
"1522049539-2376","REALDEAL",,,,,"http://realdeal.product.co.jp/","jp","Japan","N/A"
"1522049539-2337","(株)ライノスタジオ",,,,,"http://www.rhino-studios.co.jp/","jp","Japan","IE"
"1522049539-2399","RINGER BELL",,,,,"http://www.rits.co.jp/rb/","jp","Japan","JP"
"1522049599-2550","ミンク",,,,,"http://www.mink.co.jp/","jp","Japan","JP"
"1522049539-2406","ル・ショコラ",,,,,"http://www.saibunkan.co.jp/lechocolat/","jp","Japan","JP"
"1522049539-2413","ルネ featuring D",,,,,"http://www.marigold.co.jp/featuring-d/index.html","jp","Japan","JP"
