"web-scraper-order","name_ja","company_games","company_description","address","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
,"キャビア",,,"〒153-0063　東京都目黒区目黒2-10-11　目黒山手プレイス9F 03(5436)7231","[]","[]","http://www.cavia.com/","com",,"JP"
,"キャメロット"," (PS.N64.GB)　マリオゴルフ６４",,"〒160-0022　東京都新宿区新宿1-28-15　ＳＲ新宿ビル３Ｆ　　03(3341)7759","[]","[]","http://www.camelot.co.jp/","jp","Japan","JP"
,"キャラメルポット"," (DC)　ゴーレムのまいご",,"〒812-0018　福岡市博多区住吉1-2-25　キャナルシティ博多ビジネスセンター","[]","[]","http://www.caramelpot.co.jp/","jp","Japan","N/A"
,"Ｃａｒｒｉ’ｅｒｅ"," (W98)　心輝桜<br>",,"〒176-0001　東京都練馬区練馬1-6-6　カーサ・ポルタ202号　03(3557)8401<br><br>","[]","[]","http://www.carriere.jp/","jp","Japan","JP"
,"キャンドル"," (W98)　闇色の童話",,"〒170-0013　東京都豊島区東池袋1-35-10　Ｆｕｊｉｔａビル３Ｆ","[]","[]","http://www.r18game.net/candle/","net",,"N/A"
,"キューティーリソース"," (W98)　放課後恋愛クラブ",,"〒982-0011　宮城県仙台市太白区長町1-2-11　チビッコビル３Ｆ","[]","[]","http://www.qt-resource.co.jp/","jp","Japan","N/A"
,"キュアキューブ"," (W98)　アルバムの中の微笑み",,"〒150-0031　東京都渋谷区桜丘町3-2　第３野口ビル５０１　　03(5456)9146","[]","[]","http://www.sanynet.ne.jp/~petit/cc/cc_main.htm","jp","Japan","JP"
,"キングレコード"," (PS.GB)　フィッシング甲子園",,"〒112-0013　東京都文京区音羽1-2-3　　03(3945)2127","[]","[]","http://www.kingrecords.co.jp/","jp","Japan","JP"
,"クールキッズ"," (PS.W98.ETC)　くるくるぱにっく",,"〒160-0022　東京都新宿区新宿1-18-14　廣田ビル２Ｆ　　03(5269)3323","[]","[]","http://www.eurus.dti.ne.jp/~koolkizz/","jp","Japan","JP"
,"クインテット"," (PS)　PLANET LAIKA",,"〒215-0034　神奈川県川崎市麻生区南黒川11-2","[]","[]","http://www.quintet.co.jp/","jp","Japan","JP"
,"空想科学"," (PS)　ザ・ゲームメーカー",,"〒350-0233　埼玉県坂戸市南町3-2　　0492(82)5120","[]","[]","http://www.kuusou.co.jp/","jp","Japan","JP"
,"クエスト"," (PS.DC.N64.GB)　オウガバトル",,"〒154-0024　東京都世田谷区三軒茶屋2-2-16　ＹＫビル３Ｆ　　03(3422)8551","[]","[]","http://www.quest-kk.com/","com",,"JP"
,"ＱＵＡＲＴＩＣ",,,"〒166-0004　東京都杉並区阿佐谷南3-49-2　美鶴ビル3F　03(5347)2071<br><br>","[]","[]","http://www.quartic.co.jp/","jp","Japan","JP"
,"クライマックス"," (PS.DC.ETC)　ＲＵＮＡＢＯＵＴ",,"〒160-0004　東京都新宿区四谷4-3-12　四谷４丁目ビル８Ｆ　　03(3225)3512","[]","[]","http://www.climax.co.jp/","jp","Japan","N/A"
,"クラウド"," (W98)　同心　～三姉妹のエチュード～",,"〒060-0056　札幌市中央区南6条東1丁目　Ｋ＆Ｙビル３Ｆ　　011(520)8881","[]","[]","http://www.hs-crowd.co.jp/","jp","Japan","JP"
,"グラスホッパー・マニファクチュア"," (PS.PS2)　シルバー事件",,"〒166-0004　東京都杉並区阿佐谷南1-8-5　ＯＳＡＷＡビル４Ｆ　　03(5305)7201","[]","[]","http://www.grasshopper.co.jp/","jp","Japan","JP"
,"クラップハンズ"," (PS.PS2)　みんなのＧＯＬＦ３<br>",,"〒220-0004　神奈川県横浜市西区北幸1-11-15　横浜ＳＴビル7F","[]","[]","http://www.claphanz.co.jp/","jp","Japan","JP"
,"グラフィックス"," (W98)　異神伝心",,"〒500-8354　岐阜市六条福寿町5-16　ＩＤＳＳ２Ｆ　　058(277)0953","[]","[]","http://www.grafix-soft.com/","com",,"JP"
,"クラフトハイル"," (W98)　LOVE LOVE SHOW",,"〒167-0053　東京都杉並区西荻南4-20-7　マイン西荻２０８","[]","[]","http://www.kraftheil.com/","com",,"N/A"
,"クラフトワーク"," (W98)　さよならを教えて　～comment te dire adieu～",,"〒530-0044　大阪市北区東天満2-1-27　東天満パークビル８Ｆ　　06(6355)2001","[]","[]","http://craftwork.product.co.jp/","jp","Japan","JP"
